eventId	programId	channel	start	xEnd	description	primeTime
50433826	363728	1	2012-11-28 22:00:00	2012-11-28 22:50:00	1' Stagione Ep.5 - 'Beach	0
50433828	188493	1	2012-11-28 22:50:00	2012-11-28 23:00:00	Ep. 57 - Politica e	0
50433832	362487	1	2012-11-28 23:00:00	2012-11-28 23:30:00	1' Stagione Ep.12 - 'In	0
50433834	362487	1	2012-11-28 23:30:00	2012-11-29 00:00:00	1' Stagione Ep.13 - 'In	0
50433830	359421	1	2012-11-29 00:00:00	2012-11-29 00:50:00	1' Stagione Ep.9 - 'The	0
50433836	111247	1	2012-11-29 00:50:00	2012-11-29 01:25:00	Ep.29 - L'appuntamento	0
50433838	170790	1	2012-11-29 01:25:00	2012-11-29 02:10:00	5' Stagione Ep.9 -	0
51216201	366490	1	2012-11-29 02:10:00	2012-11-29 02:20:00	'A Muso Duro', il brano	0
50433840	170794	1	2012-11-29 02:20:00	2012-11-29 03:05:00	14' Stagione Ep.13 - 'The	0
50433842	366480	1	2012-11-29 03:05:00	2012-11-29 03:25:00	4' Stagione Ep.6 - 'Party	0
50433844	366481	1	2012-11-29 03:25:00	2012-11-29 03:45:00	Driveway Disaster - Per	0
51216203	366490	1	2012-11-29 03:45:00	2012-11-29 03:50:00	'A Muso Duro', il brano	0
50433846	181483	1	2012-11-29 03:50:00	2012-11-29 04:35:00	7' Stagione Ep.6 - Il	0
50433848	111247	1	2012-11-29 04:35:00	2012-11-29 05:10:00	Ep.29 - L'appuntamento	0
50704458	122523	1	2012-11-29 05:10:00	2012-11-29 05:35:00	2' Stagione Ep.43 - I	0
51216205	366490	1	2012-11-29 05:35:00	2012-11-29 05:40:00	'A Muso Duro', il brano	0
50433852	188493	1	2012-11-29 05:40:00	2012-11-29 05:50:00	Ep. 57 - Politica e	0
50433854	188493	1	2012-11-29 05:50:00	2012-11-29 06:00:00	Ep. 56 - Politica e	0
50433856	122523	1	2012-11-29 06:00:00	2012-11-29 06:25:00	2' Stagione Ep.44 - I	0
50433858	177197	1	2012-11-29 06:25:00	2012-11-29 06:50:00	Ep. 9 - Craig Busch e'	0
50433860	177197	1	2012-11-29 06:50:00	2012-11-29 07:15:00	Ep. 10 - Craig Busch e'	0
51266221	366343	1	2012-11-29 07:15:00	2012-11-29 07:20:00	Una rubrica dedicata al	0
50433862	111247	1	2012-11-29 07:20:00	2012-11-29 07:55:00	Ep.29 - L'appuntamento	0
50433864	362411	1	2012-11-29 07:55:00	2012-11-29 08:25:00	Ep.29 - Alessandro	0
50433866	181483	1	2012-11-29 08:25:00	2012-11-29 09:10:00	7' Stagione Ep.6 - Il	0
50433868	366480	1	2012-11-29 09:10:00	2012-11-29 09:30:00	4' Stagione Ep.6 - 'Party	0
50433870	366481	1	2012-11-29 09:30:00	2012-11-29 09:50:00	Driveway Disaster - Per	0
51266223	366343	1	2012-11-29 09:50:00	2012-11-29 09:55:00	Una rubrica dedicata al	0
50433872	188493	1	2012-11-29 09:55:00	2012-11-29 10:05:00	Ep. 57 - Politica e	0
